490,Derrick Brown,2010,2012,F,6-7,225,8-Sep-87,Xavier University
491,Devin Brown,2003,2010,G,6-5,220,30-Dec-78,University of Texas at San Antonio
492,Ernest Brown,2002,2002,C,7-1,244,17-May-79,Indian Hills Community College
495,Gerald Brown,1999,1999,G,6-4,210,28-Jul-75,Pepperdine University
497,Jabari Brown,2015,2015,G,6-4,215,18-Dec-92,University of Missouri
498,Jaylen Brown,2017,2018,F-G,6-7,225,24-Oct-96,University of California
500,Kedrick Brown,2002,2005,G,6-7,222,18-Mar-81,Okaloosa-Walton Community College
501,Kwame Brown,2002,2013,F,6-11,270,10-Mar-82,
505,Lorenzo Brown,2014,2018,G,6-5,189,26-Aug-90,North Carolina State University
506,Marcus Brown,1997,2000,G,6-3,185,3-Apr-74,Murray State University
507,Markel Brown,2015,2016,G,6-3,190,29-Jan-92,Oklahoma State University
508,Mike Brown,1987,1997,C-F,6-9,257,19-Jul-63,George Washington University
509,Myron Brown,1992,1992,G,6-3,180,3-Nov-69,Slippery Rock University of Pennsylvania
510,P.J. Brown,1994,2008,F-C,6-11,225,14-Oct-69,Louisiana Tech University
511,Randy Brown,1992,2003,G,6-2,190,22-May-68,New Mexico State University
512,Raymond Brown,1990,1990,F,6-8,220,5-Jul-65,University of Idaho
513,Rickey Brown,1981,1985,C-F,6-10,215,20-Aug-58,Mississippi State University
516,Shannon Brown,2007,2015,G,6-4,205,29-Nov-85,Michigan State University
518,Sterling Brown,2018,2018,G,6-5,225,10-Feb-95,Southern Methodist University
519,Tierre Brown,2002,2005,G,6-2,189,3-Jun-79,McNeese State University
520,Tony Brown,1985,1992,F-G,6-6,185,29-Jul-60,University of Arkansas
522,Stanley Brundy,1990,1990,F,6-6,210,13-Nov-67,DePaul University
525,Rick Brunson,1998,2006,G,6-4,190,14-Jun-72,Temple University
526,Nicolas Brussino,2017,2018,G-F,6-7,195,2-Mar-93,
529,Kobe Bryant,1997,2016,G-F,6-6,212,23-Aug-78,
530,Mark Bryant,1989,2003,F-C,6-9,245,25-Apr-65,Seton Hall University
531,Thomas Bryant,2018,2018,C,6-10,248,31-Jul-97,Indiana University
532,Wallace Bryant,1984,1986,C,7-1,245,14-Jul-59,University of San Francisco
533,Torgeir Bryn,1990,1990,C,6-9,250,8-Aug-64,Texas State University
536,Steve Bucknall,1990,1990,G,6-6,215,17-Mar-66,University of North Carolina
538,Greg Buckner,2000,2009,G,6-4,210,16-Sep-76,Clemson University
539,Quinn Buckner,1977,1986,G,6-3,190,20-Aug-54,Indiana University
541,Chase Budinger,2010,2016,F,6-7,209,22-May-88,University of Arizona
543,Jud Buechler,1991,2002,F-G,6-6,220,19-Jun-68,University of Arizona
544,Rodney Buford,2000,2005,G-F,6-5,189,2-Nov-77,Creighton University
545,Matt Bullard,1991,2002,F,6-10,215,5-Jun-67,University of Iowa
546,Reggie Bullock,2014,2018,G-F,6-7,205,16-Mar-91,University of North Carolina
553,Pat Burke,2003,2007,C-F,6-11,250,14-Dec-73,Auburn University
554,Trey Burke,2014,2017,G,6-1,191,12-Nov-92,University of Michigan
556,Alec Burks,2012,2018,G,6-6,214,20-Jul-91,University of Colorado
557,Antonio Burks,2005,2006,G,6-1,200,25-Feb-80,University of Memphis
558,Kevin Burleson,2006,2006,G,6-3,205,9-Apr-79,University of Minnesota
562,Evers Burns,1994,1994,F,6-8,260,24-Aug-71,University of Maryland
564,Scott Burrell,1994,2001,G-F,6-7,218,12-Jan-71,University of Connecticut
566,Junior Burrough,1996,1996,F,6-8,242,18-Jan-73,University of Virginia
569,Willie Burton,1991,1999,F-G,6-8,210,26-May-68,University of Minnesota
570,Steve Burtt,1985,1993,G,6-2,185,5-Nov-62,Iona College
571,Don Buse,1973,1985,G,6-4,190,10-Aug-50,University of Evansville
